Sales Date,Car Make,Car Model,Model Year,Base Price,Discount,Final Price,Accessories Cost,Total Sale Value,Customer Name,Salesperson,Region,Payment Method,Sales Channel,Warranty Years
2024-03-25,Mercedes-Benz,E-Class,2021,45373,5834.11,39538.89,2209,41747.89,Laura Hill,David Clark,South,Finance,In-Store,4
2021-01-13,Nissan,Sentra,2024,25047,3430.37,21616.63,1044,22660.63,Alison Ramos,Michael Ramos,South,Finance,In-Store,1
2023-05-26,Honda,Pilot,2020,74453,9146.3,65306.7,4153,69459.7,Daniel Campbell,Deborah Martin,West,Finance,Third-Party Dealer,4
2021-05-20,Hyundai,Tucson,2017,52363,6970.56,45392.44,987,46379.44,Peter Obrien,Veronica Johnson,West,Cash,In-Store,2
2023-08-07,Toyota,Camry,2020,66595,5123.09,61471.91,972,62443.91,Dennis Jones,Dale Villa,North,Credit Card,Third-Party Dealer,3
2022-10-09,BMW,X3,2023,59544,3379.77,56164.23,3615,59779.23,John Marshall,Wendy Robinson,West,Finance,Online,5
2020-12-10,Ford,Escape,2016,42645,3669.75,38975.25,950,39925.25,Anita Pennington,Renee Mcdonald,South,Cash,Third-Party Dealer,5
2023-11-20,Honda,Accord,2023,23753,1928.91,21824.09,1115,22939.09,Annette Miller,Christopher Lee,West,Cash,In-Store,2
2023-09-03,Honda,CR-V,2020,16181,1947.69,14233.31,1530,15763.31,Travis Morgan,Ann Lane,North,Cash,In-Store,2
2020-09-05,Honda,Accord,2024,35551,4270.4,31280.6,1196,32476.6,Jonathan Rodriguez,Jack Hunter,South,Credit Card,In-Store,2
2022-05-11,Hyundai,Sonata,2018,75493,8846.69,66646.31,2265,68911.31,Maria Jenkins,Samantha Smith,North,Finance,In-Store,2
2024-06-14,BMW,X3,2015,77722,9566.5,68155.5,4696,72851.5,Alicia Peters,Gary Bowers,East,Cash,Online,2
2023-05-29,Toyota,Camry,2022,70805,3865.52,66939.48,2945,69884.48,Daniel Saunders,Dustin Smith,East,Finance,In-Store,1
2024-08-19,Chevrolet,Traverse,2019,73637,2022.8,71614.2,735,72349.2,Michael Shaw,Samuel Gallagher,North,Cash,Online,1
2024-02-22,Toyota,RAV4,2021,20171,2308.11,17862.89,3041,20903.89,Chad Mendoza,Ashley Gray,East,Lease,In-Store,4
2021-09-04,Mercedes-Benz,C-Class,2024,54005,4587.88,49417.12,1174,50591.12,Brandy Dunn,Ronald Peters,South,Cash,Third-Party Dealer,5
2021-04-05,Ford,Fusion,2018,70302,3368.39,66933.61,1151,68084.61,Michael Cooper,Scott Ashley,East,Credit Card,In-Store,4
2022-06-17,Mercedes-Benz,C-Class,2023,65453,5741.11,59711.89,4416,64127.89,Eddie Weber,Timothy Pitts,South,Cash,Online,3
2021-04-11,BMW,X5,2024,54729,2796.7,51932.3,4917,56849.3,Annette Wallace,Rhonda Taylor,South,Cash,Third-Party Dealer,1
2023-03-01,Ford,Fusion,2021,43475,6470.03,37004.97,3947,40951.97,Alan Potts,Elizabeth Arnold,East,Credit Card,Online,5
2022-02-18,BMW,X3,2019,21739,1391.14,20347.86,2192,22539.86,Donna Phillips,Danielle Scott,East,Lease,In-Store,1
2020-05-02,Ford,Fusion,2019,55606,4085.84,51520.16,1214,52734.16,Jennifer Turner,Jonathan Myers,East,Lease,Online,4
2020-11-28,Ford,Fusion,2016,40913,1365.6,39547.4,2067,41614.4,Richard Robertson,Walter Deleon,West,Finance,Online,4
2021-05-09,Mercedes-Benz,GLC,2022,64735,3958.56,60776.44,2047,62823.44,Thomas Phillips,Desiree Powers,West,Lease,Online,1
2024-08-14,Nissan,Rogue,2018,45942,1791.57,44150.43,4358,48508.43,Susan Weiss,Yolanda Parsons,East,Credit Card,Online,4
2022-06-19,Hyundai,Tucson,2024,34638,4532.19,30105.81,3602,33707.81,Tammy Perez,Jared Jones,South,Finance,In-Store,4
2020-09-13,Toyota,Corolla,2016,65260,9382.81,55877.19,2669,58546.19,Olivia Parker,Linda Smith,North,Cash,In-Store,3
2022-12-13,Nissan,Murano,2019,16848,1775.27,15072.73,3522,18594.73,Nicholas Smith,Charles Scott,West,Lease,Third-Party Dealer,4
2024-05-06,Ford,Explorer,2024,46181,6832.8,39348.2,4624,43972.2,Theresa Jefferson,Monica Moore,West,Credit Card,In-Store,1
2022-06-29,Ford,Explorer,2019,72279,7511.19,64767.81,3047,67814.81,Robert Harris,Nancy Kelly,North,Cash,In-Store,5
2020-05-14,Honda,Civic,2015,45265,2762.8,42502.2,3739,46241.2,James Wagner,Joseph White,West,Cash,Online,3
2022-10-27,Mercedes-Benz,E-Class,2019,26091,1487.37,24603.63,2107,26710.63,Veronica Padilla,Calvin Lambert,North,Lease,In-Store,3
2025-03-04,Mercedes-Benz,GLC,2017,26110,2143.24,23966.760000000002,2632,26598.760000000002,Melissa Sanchez,Rebecca Dunn,East,Credit Card,In-Store,4
2021-11-07,Toyota,Highlander,2017,71578,9550.02,62027.979999999996,2675,64702.979999999996,Emily Rice,Allen Cruz,North,Credit Card,Third-Party Dealer,1
2020-04-20,Mercedes-Benz,C-Class,2024,41947,465.29,41481.71,1678,43159.71,Drew Alexander,Matthew Rodriguez,West,Credit Card,Third-Party Dealer,2
2024-03-16,Mercedes-Benz,GLC,2015,27613,1018.72,26594.28,1137,27731.28,Cynthia Jacobs MD,Jeffrey Willis,East,Credit Card,In-Store,5
2022-03-17,Mercedes-Benz,E-Class,2017,55090,1541.14,53548.86,1519,55067.86,Laurie Long,Latoya Vasquez,North,Finance,In-Store,3
2023-06-12,Nissan,Sentra,2017,56097,2362.12,53734.88,1017,54751.88,Caitlyn Smith DDS,Jeremy Miles,South,Finance,Online,5
2023-08-03,Nissan,Sentra,2020,64922,9597.15,55324.85,4728,60052.85,Sean Johnson,Collin Patterson,East,Finance,Online,2
2024-09-06,Ford,Explorer,2021,67092,2549.03,64542.97,2039,66581.97,Cody Johnson,Daniel Jenkins,South,Cash,In-Store,4
2024-11-07,BMW,3 Series,2024,49439,4604.28,44834.72,1159,45993.72,Diana Parsons,Ronald Collins,West,Cash,Third-Party Dealer,3
2022-01-09,BMW,X5,2015,58659,863.68,57795.32,1613,59408.32,Ashley Underwood,Sara Ware,West,Cash,Online,1
2024-01-01,Toyota,Highlander,2017,18869,1536.78,17332.22,2639,19971.22,Susan Anderson,Eric Lewis,East,Cash,In-Store,3
2025-01-05,Chevrolet,Traverse,2016,75569,8459.17,67109.83,2526,69635.83,Paul Bell,David Walker,West,Finance,Third-Party Dealer,1
2022-09-11,BMW,3 Series,2016,35760,3512.41,32247.59,886,33133.59,Debra Gomez,Leslie Velasquez,East,Credit Card,Online,1
2020-06-25,Ford,Explorer,2021,30291,873.18,29417.82,1146,30563.82,John Montes,William Hester,South,Credit Card,In-Store,5
2021-06-28,BMW,X5,2016,64450,2221.78,62228.22,3926,66154.22,Rebecca Smith,Vincent Horn,North,Lease,Online,3
2024-09-12,Mercedes-Benz,E-Class,2015,51794,2961.78,48832.22,3267,52099.22,Christopher Salazar,Patrick Esparza,South,Lease,In-Store,1
2024-02-22,Chevrolet,Equinox,2016,58641,8514.13,50126.87,1089,51215.87,John Horton,Luis Lewis,East,Cash,Third-Party Dealer,5
2024-08-31,Ford,Escape,2021,27914,1116.37,26797.63,2440,29237.63,Emily Tyler,Scott Watson,East,Credit Card,Third-Party Dealer,4
2022-08-07,Hyundai,Sonata,2015,60636,5164.91,55471.09,947,56418.09,Dominique Rivera,Melanie Bailey,West,Cash,Third-Party Dealer,1
2021-11-28,BMW,3 Series,2021,47930,6861.56,41068.44,1240,42308.44,Robin Tate,Anthony Smith,West,Credit Card,In-Store,1
2022-09-29,BMW,X5,2018,75424,3040.6,72383.4,4476,76859.4,Spencer Cruz,Mark Acosta,West,Cash,Third-Party Dealer,5
2024-04-05,Ford,Fusion,2016,34316,3226.08,31089.92,3036,34125.92,Ralph Hernandez,Jeffrey Mcdonald,West,Lease,In-Store,1
2024-12-17,Mercedes-Benz,GLE,2020,78795,8967.09,69827.91,2069,71896.91,Robert Spencer,Alan Pope,East,Cash,Third-Party Dealer,2
2024-02-03,BMW,X5,2019,37713,762.6,36950.4,3311,40261.4,Lance Snyder Jr.,John Clark,West,Lease,Online,5
2020-10-07,Honda,Pilot,2022,67176,3968.13,63207.87,4843,68050.87,Harold Richardson,Timothy Erickson,North,Cash,Online,2
2024-01-28,Mercedes-Benz,C-Class,2015,70574,7612.67,62961.33,2484,65445.33,James Hunt,Douglas Alvarez,South,Lease,Online,1
2021-08-31,Hyundai,Tucson,2022,76888,5246.21,71641.79,2090,73731.79,Michael Jones,Kevin Smith,South,Finance,Online,5
2021-10-02,Toyota,Corolla,2021,67143,9107.06,58035.94,4669,62704.94,Ronald Patterson,Jesse Cardenas,West,Lease,Online,1
2020-07-20,Hyundai,Sonata,2016,15894,1349.22,14544.78,4897,19441.78,Brent Brown,Melissa Castro,West,Cash,Online,2
2022-09-27,Ford,Fusion,2022,68105,8534.1,59570.9,3731,63301.9,Margaret Johnson,Heather Baker,South,Cash,In-Store,4
2023-06-25,Chevrolet,Malibu,2019,17678,2541.35,15136.65,1738,16874.65,Cheryl Wallace,Denise Campbell,West,Credit Card,Online,1
2022-12-18,Nissan,Altima,2024,35825,4709.42,31115.58,4124,35239.58,Mary Peters,Cathy White,North,Finance,Online,2
2023-10-01,Honda,CR-V,2017,50835,6272.09,44562.91,2313,46875.91,Danielle Clayton,Maria Francis,South,Finance,Online,3
2024-10-09,Toyota,Corolla,2024,23858,253.24,23604.76,4091,27695.76,Patricia Smith,Theresa Alvarez,South,Finance,Third-Party Dealer,4
2020-05-27,Ford,Fusion,2015,31559,1742.06,29816.94,619,30435.94,Michael Bruce,Barry Smith,South,Lease,Online,1
2024-04-02,Honda,Pilot,2018,39143,5587.69,33555.31,4153,37708.31,Michelle Fischer,Jesse Murray,East,Finance,Online,4
2021-01-02,Nissan,Altima,2019,44363,4766.2,39596.8,946,40542.8,Richard Jones,Mary Hebert,West,Lease,Online,4
2021-03-16,Nissan,Murano,2017,22456,2521.66,19934.34,3071,23005.34,Catherine Crawford,Abigail Sloan,North,Finance,Third-Party Dealer,5
2025-02-23,BMW,X5,2018,52946,5645.9,47300.1,1410,48710.1,Carla Gonzalez,Linda Allen,East,Finance,Third-Party Dealer,4
2020-10-10,Chevrolet,Silverado,2015,27376,2633.68,24742.32,1503,26245.32,Leslie Malone,Jonathan Conner,East,Finance,Third-Party Dealer,5
2021-03-21,Nissan,Rogue,2020,25649,2556.32,23092.68,1376,24468.68,Mariah Smith,Kelly Hill,North,Cash,In-Store,3
2024-06-15,Nissan,Altima,2018,56567,920.9,55646.1,768,56414.1,Jeffrey Stewart,Grace Vaughn,West,Finance,In-Store,5
2023-04-04,Nissan,Murano,2023,48691,1420.74,47270.26,2286,49556.26,Robert Hayden,Lisa Nelson,East,Finance,Online,5
2023-04-29,Ford,Explorer,2019,47878,1317.91,46560.09,1603,48163.09,Michael Davila,Mark Singleton,West,Finance,Third-Party Dealer,4
2022-06-11,Nissan,Rogue,2019,69718,10074.83,59643.17,3212,62855.17,Kimberly Baker,Ashley Gutierrez,South,Cash,In-Store,1
2020-11-03,Hyundai,Tucson,2023,47022,4149.08,42872.92,3501,46373.92,Jessica Wilson,Jacqueline Reynolds,South,Credit Card,Third-Party Dealer,1
2021-08-30,Toyota,Corolla,2022,37863,1542.53,36320.47,4657,40977.47,Penny Richmond,David Johnson,West,Lease,In-Store,2
2023-12-06,Nissan,Murano,2023,61354,744.13,60609.87,3299,63908.87,Christine Ramos,Stephanie Martinez,South,Cash,Third-Party Dealer,1
2023-03-16,Honda,Pilot,2017,49427,7006.96,42420.04,4482,46902.04,John Young,Edward Chambers,South,Credit Card,Third-Party Dealer,5
2022-08-14,Ford,Escape,2022,46753,4852.5,41900.5,3674,45574.5,Dominique Thomas,Alan Jackson,North,Finance,Third-Party Dealer,5
2020-11-04,Ford,Explorer,2015,19126,2489.84,16636.16,1718,18354.16,Cheryl Garza,Barbara Obrien,South,Cash,Online,1
2020-10-10,Mercedes-Benz,E-Class,2017,43574,4644.07,38929.93,3913,42842.93,Michael Branch,Timothy Rogers,South,Finance,In-Store,5
2022-08-09,Mercedes-Benz,GLC,2015,79330,9990.1,69339.9,4229,73568.9,Andrew Evans,Carolyn Murillo,East,Cash,Online,5
2024-07-01,Honda,CR-V,2018,55853,2860.74,52992.26,2462,55454.26,Shari Fox,Angela Smith,North,Lease,In-Store,3
2023-07-13,Toyota,Camry,2019,53057,566.38,52490.62,2295,54785.62,Kevin Floyd,Scott Ho,North,Cash,Third-Party Dealer,3
2020-09-09,Mercedes-Benz,GLC,2022,52535,6963.31,45571.69,4940,50511.69,Jonathan Young,Richard Lee,North,Cash,Online,3
2020-07-10,Nissan,Murano,2024,52023,2117.63,49905.37,2661,52566.37,Ms. Amber Fernandez,Denise Long,West,Finance,Online,4
2021-01-02,Toyota,Highlander,2024,27194,1345.52,25848.48,3721,29569.48,Jorge Middleton,Wanda Smith,East,Cash,In-Store,1
2022-02-14,Hyundai,Sonata,2018,24338,1243.26,23094.74,4976,28070.74,Alice Tran,Scott Reeves,North,Credit Card,Third-Party Dealer,2
2022-02-15,Chevrolet,Traverse,2016,31828,3096.06,28731.94,1529,30260.94,Melissa Peters,Nathan Avery,North,Finance,In-Store,2
2024-10-01,Hyundai,Tucson,2017,65905,7751.66,58153.34,3248,61401.34,Miranda Perez,Dwayne Odonnell,North,Credit Card,In-Store,5
2022-05-28,Ford,Escape,2017,48448,6325.35,42122.65,3930,46052.65,Heather Taylor,Gina Allen,East,Credit Card,Third-Party Dealer,3
2025-03-15,Mercedes-Benz,C-Class,2021,34239,3493.52,30745.48,4123,34868.479999999996,Monique Wilson,Caleb Roberts,West,Cash,Online,1
2022-08-18,BMW,X3,2023,42544,793.13,41750.87,3015,44765.87,Michael Zimmerman,Jacqueline Holloway,North,Lease,Online,3
2020-10-02,Toyota,Camry,2016,28636,295.13,28340.87,2571,30911.87,Kimberly Curtis,Jessica Reeves,South,Cash,Online,3
2023-05-07,Hyundai,Elantra,2016,70088,2720.25,67367.75,1953,69320.75,Thomas Powers,Brian Walters,South,Cash,Third-Party Dealer,5
2023-05-23,Chevrolet,Traverse,2016,58276,7633.91,50642.09,2849,53491.09,Edward Barajas,Angela Carpenter,South,Lease,Online,3
2021-07-02,Honda,Pilot,2024,29232,3567.2,25664.8,2837,28501.8,Mr. David Rivers,Linda Knight,North,Lease,Third-Party Dealer,1
2024-06-07,BMW,5 Series,2019,61812,623.67,61188.33,503,61691.33,Samantha Malone,James Jackson,East,Finance,In-Store,3
2022-11-15,Mercedes-Benz,C-Class,2016,41745,3065.21,38679.79,3993,42672.79,Ryan Mason,Zachary Aguirre,West,Finance,Online,2
2020-08-11,Chevrolet,Silverado,2016,44189,6210.82,37978.18,1963,39941.18,Veronica Patrick,John Sosa,West,Credit Card,In-Store,4
2023-12-24,Honda,Pilot,2024,34032,440.75,33591.25,2722,36313.25,Lori Turner,Daniel Rodriguez,South,Credit Card,In-Store,5
2021-08-26,Mercedes-Benz,GLC,2021,69595,5328.08,64266.92,4057,68323.92,Clayton Hebert,Christopher Farrell,East,Lease,Third-Party Dealer,3
2021-10-08,Honda,Civic,2018,47758,4851.81,42906.19,1857,44763.19,John Rangel,Jason Mcfarland,North,Credit Card,In-Store,5
2021-08-10,Hyundai,Elantra,2023,46958,2127.9,44830.1,650,45480.1,Katherine Cook,Brittany Wilson,South,Credit Card,Online,4
2021-05-02,Nissan,Altima,2015,45824,5545.27,40278.729999999996,3383,43661.729999999996,Danielle Hampton,Jodi Davis,West,Finance,Third-Party Dealer,1
2022-02-14,Hyundai,Santa Fe,2015,65718,9377.99,56340.01,834,57174.01,Traci Meyers,Jamie Chase,South,Cash,In-Store,1
2023-10-06,Honda,Pilot,2016,49287,6538.68,42748.32,2767,45515.32,Jodi Fisher,Brian Wong,East,Finance,Third-Party Dealer,3
2023-12-10,Hyundai,Tucson,2021,25585,3167.36,22417.64,2270,24687.64,Christine Walker,Grant Lopez,North,Lease,Third-Party Dealer,2
2024-05-18,Ford,Fusion,2020,67727,3676.01,64050.99,4606,68656.98999999999,Christian Snow,Natalie Franco,East,Finance,Online,3
2022-10-01,Honda,Civic,2022,18836,512.47,18323.53,1792,20115.53,Mary Gregory,Kathleen Barron,North,Lease,In-Store,3
2021-09-24,Ford,Explorer,2022,71062,750.83,70311.17,1629,71940.17,Eric Kane,Julie Moore,South,Finance,Online,4
2023-04-12,Honda,Civic,2021,73195,10437.91,62757.09,3071,65828.09,Brittany Potter,Debra Phillips,West,Finance,Third-Party Dealer,2
2024-02-12,Nissan,Altima,2016,15349,997.19,14351.81,1165,15516.81,William Peterson,Christopher Zamora,North,Finance,Online,4
2024-07-12,Toyota,Corolla,2017,62111,4945.6,57165.4,3359,60524.4,Melissa Welch,Luis Watson,North,Lease,In-Store,2
2024-04-25,Mercedes-Benz,C-Class,2017,17718,711.69,17006.31,2801,19807.31,Luke Arnold,Nicholas Olsen,South,Cash,Online,3
2024-06-08,Ford,Explorer,2022,38035,425.38,37609.62,1517,39126.62,David Morgan,Megan Lopez,South,Cash,Third-Party Dealer,4
2023-10-09,BMW,5 Series,2023,34530,1729.41,32800.59,1117,33917.59,Rebecca Fox,Erica Hodges,South,Lease,In-Store,2
2023-11-06,Ford,F-150,2020,71583,5612.79,65970.21,3643,69613.21,Jason Thomas,Joyce Jones,East,Finance,Online,2
2021-07-13,Nissan,Rogue,2021,19466,1423.96,18042.04,3148,21190.04,Henry Gray,Tonya Harris,North,Finance,In-Store,1
2024-04-12,Mercedes-Benz,GLE,2021,30840,2563.8,28276.2,1121,29397.2,Michael Smith,Christina Gonzales,North,Lease,Online,1
2022-01-18,Mercedes-Benz,C-Class,2017,27301,1416.49,25884.51,1862,27746.51,Kenneth Chapman,Matthew Daniel,West,Lease,In-Store,4
2022-11-30,Nissan,Altima,2020,63469,8083.5,55385.5,3490,58875.5,Drew Powell,Jacqueline Christensen,South,Cash,Online,3
2025-03-18,Mercedes-Benz,E-Class,2016,77406,2240.74,75165.26,938,76103.26,Ariel Alvarez,Kelly Tucker,West,Lease,Third-Party Dealer,2
2024-10-20,BMW,5 Series,2019,42305,5802.84,36502.16,3506,40008.16,Patrick Gonzalez,David Hardy,West,Credit Card,In-Store,5
2022-10-21,Nissan,Rogue,2022,62237,5109.2,57127.8,2553,59680.8,Brittney Guzman,Emily Garcia,North,Credit Card,Third-Party Dealer,4
2021-11-10,Honda,Pilot,2015,28683,1459.03,27223.97,864,28087.97,Shawn Richardson,Michael Lopez,North,Finance,Online,4
2021-10-06,Honda,CR-V,2016,58449,4816.9,53632.1,3397,57029.1,Anthony Ritter,Frederick Kelly,East,Finance,In-Store,5
2022-07-23,Hyundai,Tucson,2021,74021,3510.85,70510.15,2154,72664.15,Jason Johnson,Carol Lewis,South,Cash,In-Store,2
2022-05-15,Nissan,Sentra,2018,47423,2109.57,45313.43,3979,49292.43,Tonya Fuller,Colin Lee,North,Finance,Online,5
2020-12-02,Hyundai,Sonata,2022,34828,2792.54,32035.46,4549,36584.46,Alex Harris,Larry Fischer,West,Cash,Third-Party Dealer,4
2021-09-16,Mercedes-Benz,E-Class,2024,43789,5654.95,38134.05,4483,42617.05,Elizabeth Chapman,Dennis Williams,North,Finance,Online,4
2022-02-28,Nissan,Sentra,2023,62938,2907.34,60030.66,4444,64474.66,Gabrielle Cherry,Eileen Smith,South,Cash,Online,1
2021-11-26,Hyundai,Elantra,2018,30040,892.0,29148.0,3963,33111.0,Paul Singh,Kari Rangel,West,Cash,In-Store,1
2020-07-25,Ford,Escape,2024,34656,3552.37,31103.63,3010,34113.630000000005,Jennifer Woodard,Mary Frazier,West,Credit Card,Online,5
2024-04-16,Ford,F-150,2016,52970,2054.57,50915.43,4463,55378.43,Gabrielle Henderson,Patrick Carr,North,Cash,Online,1
2022-03-27,Chevrolet,Silverado,2018,64796,5462.26,59333.74,4508,63841.74,Jessica Ware,Mark Dominguez,North,Lease,Online,5
2023-02-01,Toyota,Camry,2018,47601,5754.27,41846.729999999996,3840,45686.729999999996,Christopher West,Lauren Garcia,North,Finance,In-Store,4
2022-05-28,Mercedes-Benz,GLC,2016,64960,4095.87,60864.13,1687,62551.13,Sabrina Jones,Patricia Gonzalez,East,Lease,In-Store,1
2022-01-06,Hyundai,Sonata,2024,47204,489.64,46714.36,3320,50034.36,Mariah Yang,Brendan Jackson,West,Lease,In-Store,1
2023-04-25,BMW,X5,2023,46200,1605.64,44594.36,2117,46711.36,Frances Mccarthy,Mark Mcintyre,East,Cash,Online,1
2020-09-01,Ford,F-150,2021,73043,9164.93,63878.07,1565,65443.07,Mark Edwards,Kenneth Ford,North,Finance,Third-Party Dealer,4
2020-09-27,Honda,CR-V,2018,76586,6014.03,70571.97,863,71434.97,Peter Myers,Sarah Lopez,North,Lease,Online,3
2021-05-02,Chevrolet,Silverado,2024,57723,6721.82,51001.18,615,51616.18,Kurt Williams,Kenneth Drake,West,Lease,Online,1
2021-04-08,Toyota,Corolla,2018,55683,3550.45,52132.55,555,52687.55,Matthew Young,Christopher Page,West,Cash,Online,1
2025-03-25,Toyota,Highlander,2024,19976,1859.41,18116.59,1293,19409.59,Sarah Harper,Michele Miller,North,Lease,Third-Party Dealer,1
2023-06-29,Toyota,Camry,2016,43725,4477.55,39247.45,1346,40593.45,Samuel Allen,Jessica Baker,West,Credit Card,In-Store,4
2022-12-06,Ford,F-150,2022,72283,2649.85,69633.15,973,70606.15,Kenneth Payne,Kristopher Jones,West,Finance,In-Store,2
